algorithm,nodes,msg_bytes,nchunks,n_roots,mean_sec,stdev_sec,min_sec,max_sec
bbs,16,8192,4,16,2.202758512e-06,4.627256233e-07,1.428116942e-06,2.906155266e-06
bbs,16,16384,4,16,2.880652833e-06,5.819360885e-07,1.940993957e-06,3.786494792e-06
bbs,16,24576,4,16,3.207086206e-06,6.370235305e-07,2.222525113e-06,4.211266531e-06
bbs,16,32768,4,16,3.676741003e-06,7.150252077e-07,2.612765023e-06,4.80561834e-06
bbs,16,49152,6,16,3.978948413e-06,6.451615426e-07,2.963774919e-06,5.001453276e-06
bbs,16,65536,8,16,4.545845425e-06,6.764137015e-07,3.469852042e-06,5.627377269e-06
bbs,16,262144,32,16,9.367292719e-06,6.635839117e-07,8.512301202e-06,1.064239419e-05
bbs,16,1048576,128,16,2.911071042e-05,9.716951704e-07,2.69039052e-05,3.069881364e-05
bbs,16,4194304,512,16,0.0001089818326,2.410147134e-06,0.0001003722239,0.0001109209434
bbs,16,16777216,2048,16,0.0004289489282,7.55741965e-06,0.0004003966293,0.0004329875471
bbs,16,67108864,8192,16,0.001711950096,1.710922696e-05,0.001648845953,0.0017219927
bbs,16,134217728,16384,16,0.003425731081,1.840545738e-05,0.003366127801,0.003440657218
bine,16,8192,1,16,2.977682729e-06,4.931883355e-07,1.877648018e-06,3.665513945e-06
bine,16,16384,1,16,6.0726945e-06,8.236817937e-07,4.39339293e-06,7.367873458e-06
bine,16,24576,1,16,7.642486586e-06,1.033078515e-06,5.835324341e-06,9.441170657e-06
bine,16,32768,1,16,9.247531902e-06,1.259679429e-06,7.301721137e-06,1.151446786e-05
bine,16,49152,1,16,1.252098887e-05,1.742562295e-06,9.827674287e-06,1.566106225e-05
bine,16,65536,1,16,1.972983984e-05,1.616119169e-06,1.519857692e-05,2.189712677e-05
bine,16,262144,1,16,4.43532773e-05,4.018692702e-06,3.675431489e-05,5.075117184e-05
bine,16,1048576,1,16,0.0001445405498,1.495185221e-05,0.0001169632502,0.000174439471
bine,16,4194304,1,16,0.0005457665093,6.026100767e-05,0.0004335925922,0.00066953341
bine,16,16777216,1,16,0.002151909683,0.0002421220806,0.00170010996,0.002650117971
bine,16,67108864,1,16,0.008578622017,0.0009688455182,0.006766179433,0.01057316321
bine,16,134217728,1,16,0.01714757179,0.001937818183,0.01352093873,0.02113722353
